Change Physical Footprint: Designator=R19 Old Footprint=RES-STACK-POLE-0402 New Footprint=RES-STACK-POLE-0402
Change Physical Footprint: Designator=R20 Old Footprint=RES-STACK-POLE-0603 New Footprint=RES-STACK-POLE-0603
Change Physical Footprint: Designator=R21 Old Footprint=RES-STACK-POLE-0603 New Footprint=RES-STACK-POLE-0603
Change Physical Footprint: Designator=R22 Old Footprint=RES-STACK-POLE-0402 New Footprint=RES-STACK-POLE-0402
Change Physical Footprint: Designator=R24 Old Footprint=RES-STACK-POLE-0402 New Footprint=RES-STACK-POLE-0402
Change Physical Footprint: Designator=R25 Old Footprint=RES-STACK-POLE-0603 New Footprint=RES-STACK-POLE-0603
Change Physical Footprint: Designator=R28 Old Footprint=RES-STACK-POLE-0402 New Footprint=RES-STACK-POLE-0402
Change Physical Footprint: Designator=R31 Old Footprint=RES-STACK-POLE-0402 New Footprint=RES-STACK-POLE-0402
Change Physical Footprint: Designator=R32 Old Footprint=RES-STACK-POLE-0402 New Footprint=RES-STACK-POLE-0402
Change Physical Footprint: Designator=R33 Old Footprint=RES-STACK-POLE-0402 New Footprint=RES-STACK-POLE-0402
Change Physical Footprint: Designator=R34 Old Footprint=RES-STACK-POLE-0603 New Footprint=RES-STACK-POLE-0603
Change Physical Footprint: Designator=R35 Old Footprint=RES-STACK-POLE-0603 New Footprint=RES-STACK-POLE-0603
Change Physical Footprint: Designator=R36 Old Footprint=RES-STACK-POLE-0402 New Footprint=RES-STACK-POLE-0402
Change Physical Footprint: Designator=R37 Old Footprint=RES-STACK-POLE-0402 New Footprint=RES-STACK-POLE-0402
Change Physical Footprint: Designator=R38 Old Footprint=RES-STACK-POLE-0402 New Footprint=RES-STACK-POLE-0402
Change Physical Footprint: Designator=R39 Old Footprint=RES-STACK-POLE-0603 New Footprint=RES-STACK-POLE-0603
Change Physical Footprint: Designator=R40 Old Footprint=RES-STACK-POLE-0603 New Footprint=RES-STACK-POLE-0603
Change Physical Footprint: Designator=R41 Old Footprint=RES-STACK-POLE-0603 New Footprint=RES-STACK-POLE-0603
Change Physical Footprint: Designator=SC1 Old Footprint=RF-SHIELD+CLIP New Footprint=RF-SHIELD+CLIP
Change Physical Footprint: Designator=SW1 Old Footprint=TACTILE-SWITCH - TINY New Footprint=TACTILE-SWITCH - TINY
Change Physical Footprint: Designator=SW2 Old Footprint=TACTILE-SWITCH New Footprint=TACTILE-SWITCH
Change Physical Footprint: Designator=TP1 Old Footprint=TESTPOINT_S New Footprint=TESTPOINT_S
Change Physical Footprint: Designator=TP2 Old Footprint=TESTPOINT_S New Footprint=TESTPOINT_S
Change Physical Footprint: Designator=TP3 Old Footprint=TESTPOINT_S New Footprint=TESTPOINT_S
Change Physical Footprint: Designator=TP4 Old Footprint=TESTPOINT_S New Footprint=TESTPOINT_S
Change Physical Footprint: Designator=TP5 Old Footprint=TESTPOINT_S New Footprint=TESTPOINT_S
Change Physical Footprint: Designator=TP6 Old Footprint=TESTPOINT_S New Footprint=TESTPOINT_S
Change Physical Footprint: Designator=TP7 Old Footprint=TESTPOINT_S New Footprint=TESTPOINT_S
Change Physical Footprint: Designator=TP8 Old Footprint=TESTPOINT_S New Footprint=TESTPOINT_S
Change Physical Footprint: Designator=TP9 Old Footprint=TESTPOINT_S New Footprint=TESTPOINT_S
Change Physical Footprint: Designator=TP10 Old Footprint=TESTPOINT_S New Footprint=TESTPOINT_S
Change Physical Footprint: Designator=TP11 Old Footprint=TESTPOINT_S New Footprint=TESTPOINT_S
Change Physical Footprint: Designator=TP12 Old Footprint=TESTPOINT_S New Footprint=TESTPOINT_S
Change Physical Footprint: Designator=TP13 Old Footprint=TESTPOINT_S New Footprint=TESTPOINT_S
Change Physical Footprint: Designator=TP14 Old Footprint=TESTPOINT_S New Footprint=TESTPOINT_S
Change Physical Footprint: Designator=TP15 Old Footprint=TESTPOINT_S New Footprint=TESTPOINT_S
Change Physical Footprint: Designator=U1 Old Footprint=21-100260_W563H3+1_ADI New Footprint=21-100260_W563H3+1_ADI
Change Physical Footprint: Designator=U3 Old Footprint=BGA5x5_S25FL512SAGBHEA10_INF New Footprint=BGA5x5_S25FL512SAGBHEA10_INF
Change Physical Footprint: Designator=U4 Old Footprint=ADXL367BCCZ-RL7 New Footprint=ADXL367BCCZ-RL7
Change Physical Footprint: Designator=U5 Old Footprint=ADPD7001_36-WLCSP New Footprint=ADPD7001_36-WLCSP
Change Physical Footprint: Designator=U6 Old Footprint=STM32WB55RG New Footprint=STM32WB55RG
Change Physical Footprint: Designator=U7 Old Footprint=Matched-Filter-2.4GHz New Footprint=Matched-Filter-2.4GHz
Change Physical Footprint: Designator=U8 Old Footprint=BME280_FOOTPRINT New Footprint=BME280_FOOTPRINT
Change Physical Footprint: Designator=XO1 Old Footprint=HSE-32MHZ New Footprint=HSE-32MHZ
Change Physical Footprint: Designator=XO2 Old Footprint=LSE-32K New Footprint=LSE-32K
